method,success,s,type,seed
HTP,1,5,linear,1492
HTP',1,5,linear,1492
IHT,1,1,flat,13
HTP,1,1,flat,13
HTP',1,1,flat,13
IHT,0,8,gaussian,2236
HTP,1,8,gaussian,2236
HTP',1,8,gaussian,2236
IHT,1,3,gaussian,749
HTP,1,3,gaussian,749
HTP',1,3,gaussian,749
IHT,1,12,linear,3538
HTP,1,12,linear,3538
HTP',1,12,linear,3538
IHT,1,2,linear,566
HTP,1,2,linear,566
HTP',1,2,linear,566
IHT,1,4,flat,934
HTP,1,4,flat,934
HTP',1,4,flat,934
IHT,1,9,linear,2608
HTP,1,9,linear,2608
HTP',1,9,linear,2608
IHT,1,4,linear,1120
HTP,1,4,linear,1120
HTP',1,4,linear,1120
IHT,1,1,flat,14
HTP,1,1,flat,14
HTP',1,1,flat,14
IHT,1,2,linear,567
HTP,1,2,linear,567
HTP',1,2,linear,567
IHT,1,1,flat,15
HTP,1,1,flat,15
HTP',1,1,flat,15
IHT,1,5,gaussian,1307
HTP,1,5,gaussian,1307
HTP',1,5,gaussian,1307
IHT,1,6,gaussian,1678
HTP,1,6,gaussian,1678
HTP',1,6,gaussian,1678
IHT,1,1,linear,203
HTP,1,1,linear,203
HTP',1,1,linear,203
IHT,1,10,linear,2980
HTP,1,10,linear,2980
HTP',1,10,linear,2980
IHT,1,2,flat,380
HTP,1,2,flat,380
HTP',1,2,flat,380
IHT,1,1,linear,204
HTP,1,1,linear,204
HTP',1,1,linear,204
IHT,1,15,flat,4282
HTP,1,15,flat,4282
HTP',1,15,flat,4282
IHT,0,11,gaussian,3165
HTP,1,11,gaussian,3165
HTP',1,11,gaussian,3165
IHT,1,7,flat,1865
HTP,1,7,flat,1865
HTP',1,7,flat,1865
IHT,0,14,gaussian,4094
HTP,1,14,gaussian,4094
HTP',1,14,gaussian,4094
IHT,1,12,flat,3354
HTP,1,12,flat,3354
HTP',1,12,flat,3354
IHT,1,9,flat,2425
HTP,1,9,flat,2425
HTP',1,9,flat,2425
IHT,1,1,linear,205
HTP,1,1,linear,205
HTP',1,1,linear,205
IHT,1,7,linear,2051
HTP,1,7,linear,2051
HTP',1,7,linear,2051
IHT,1,14,flat,3910
HTP,1,14,flat,3910
HTP',1,14,flat,3910
IHT,1,9,linear,2609
HTP,1,9,linear,2609
HTP',1,9,linear,2609
IHT,1,1,linear,206
HTP,1,1,linear,206
HTP',1,1,linear,206
IHT,1,10,flat,2794
HTP,1,10,flat,2794
HTP',1,10,flat,2794
IHT,1,5,linear,1493
HTP,1,5,linear,1493
HTP',1,5,linear,1493
IHT,1,12,linear,3539
HTP,1,12,linear,3539
HTP',1,12,linear,3539
IHT,1,4,flat,935
HTP,1,4,flat,935
HTP',1,4,flat,935
IHT,1,3,gaussian,750
HTP,1,3,gaussian,750
HTP',1,3,gaussian,750
IHT,1,4,linear,1121
HTP,1,4,linear,1121
HTP',1,4,linear,1121
IHT,1,14,gaussian,4095
HTP,1,14,gaussian,4095
HTP',1,14,gaussian,4095
IHT,1,8,gaussian,2237
HTP,1,8,gaussian,2237
HTP',1,8,gaussian,2237
IHT,1,2,flat,381
HTP,1,2,flat,381
HTP',1,2,flat,381
IHT,1,5,gaussian,1308
HTP,1,5,gaussian,1308
HTP',1,5,gaussian,1308
IHT,0,13,gaussian,3723
HTP,1,13,gaussian,3723
HTP',1,13,gaussian,3723
IHT,1,2,linear,568
HTP,1,2,linear,568
HTP',1,2,linear,568
IHT,1,1,flat,16
HTP,1,1,flat,16
HTP',1,1,flat,16
IHT,1,6,gaussian,1679
HTP,1,6,gaussian,1679
HTP',1,6,gaussian,1679
IHT,1,12,flat,3355
HTP,1,12,flat,3355
HTP',1,12,flat,3355
IHT,1,10,flat,2795
HTP,1,10,flat,2795
HTP',1,10,flat,2795
IHT,1,7,linear,2052
HTP,1,7,linear,2052
HTP',1,7,linear,2052
IHT,1,9,flat,2426
HTP,1,9,flat,2426
HTP',1,9,flat,2426
IHT,1,12,linear,3540
HTP,1,12,linear,3540
HTP',1,12,linear,3540
IHT,0,25,flat,7256
HTP,1,25,flat,7256
HTP',1,25,flat,7256
IHT,1,7,flat,1866
HTP,1,7,flat,1866
HTP',1,7,flat,1866
IHT,1,1,flat,17
HTP,1,1,flat,17
HTP',1,1,flat,17
IHT,1,10,linear,2981
HTP,1,10,linear,2981
HTP',1,10,linear,2981
IHT,1,1,linear,207
HTP,1,1,linear,207
HTP',1,1,linear,207
IHT,1,5,linear,1494
HTP,1,5,linear,1494
HTP',1,5,linear,1494
IHT,1,4,linear,1122
HTP,1,4,linear,1122
HTP',1,4,linear,1122
IHT,1,9,linear,2610
HTP,1,9,linear,2610
HTP',1,9,linear,2610
IHT,1,11,gaussian,3166
HTP,1,11,gaussian,3166
HTP',1,11,gaussian,3166
IHT,1,1,flat,18
HTP,1,1,flat,18
HTP',1,1,flat,18
IHT,1,4,flat,936
HTP,1,4,flat,936
HTP',1,4,flat,936
IHT,1,2,flat,382
HTP,1,2,flat,382
HTP',1,2,flat,382
IHT,1,1,flat,19
HTP,1,1,flat,19
HTP',1,1,flat,19
IHT,1,3,gaussian,751
HTP,1,3,gaussian,751
HTP',1,3,gaussian,751
IHT,1,12,flat,3356
HTP,1,12,flat,3356
HTP',1,12,flat,3356
IHT,0,15,flat,4283
HTP,1,15,flat,4283
HTP',1,15,flat,4283
IHT,1,5,gaussian,1309
HTP,1,5,gaussian,1309
HTP',1,5,gaussian,1309
IHT,1,2,linear,569
HTP,1,2,linear,569
HTP',1,2,linear,569
IHT,1,12,linear,3541
HTP,1,12,linear,3541
HTP',1,12,linear,3541
IHT,1,2,flat,383
HTP,1,2,flat,383
HTP',1,2,flat,383
IHT,0,8,gaussian,2238
HTP,1,8,gaussian,2238
HTP',1,8,gaussian,2238
IHT,1,1,flat,20
HTP,1,1,flat,20
HTP',1,1,flat,20
IHT,1,2,flat,384
HTP,1,2,flat,384
HTP',1,2,flat,384
IHT,1,9,flat,2427
HTP,1,9,flat,2427
HTP',1,9,flat,2427
IHT,1,6,gaussian,1680
HTP,1,6,gaussian,1680
HTP',1,6,gaussian,1680
IHT,1,1,linear,208
HTP,1,1,linear,208
HTP',1,1,linear,208
IHT,1,2,linear,570
HTP,1,2,linear,570
HTP',1,2,linear,570
IHT,1,5,linear,1495
HTP,1,5,linear,1495
HTP',1,5,linear,1495
IHT,1,3,gaussian,752
HTP,1,3,gaussian,752
HTP',1,3,gaussian,752
IHT,1,7,flat,1867
HTP,1,7,flat,1867
HTP',1,7,flat,1867
IHT,1,10,flat,2796
HTP,1,10,flat,2796
HTP',1,10,flat,2796
IHT,1,1,linear,209
HTP,1,1,linear,209
HTP',1,1,linear,209
IHT,1,11,gaussian,3167
HTP,1,11,gaussian,3167
HTP',1,11,gaussian,3167
IHT,1,1,flat,21
HTP,1,1,flat,21
HTP',1,1,flat,21
IHT,1,9,linear,2611
HTP,1,9,linear,2611
HTP',1,9,linear,2611
IHT,1,12,linear,3542
HTP,1,12,linear,3542
HTP',1,12,linear,3542
IHT,1,7,linear,2053
HTP,1,7,linear,2053
HTP',1,7,linear,2053
IHT,1,4,flat,937
HTP,1,4,flat,937
HTP',1,4,flat,937
IHT,1,4,linear,1123
HTP,1,4,linear,1123
HTP',1,4,linear,1123
IHT,1,10,linear,2982
HTP,1,10,linear,2982
HTP',1,10,linear,2982
IHT,1,5,gaussian,1310
HTP,1,5,gaussian,1310
HTP',1,5,gaussian,1310
IHT,0,13,gaussian,3724
HTP,1,13,gaussian,3724
HTP',1,13,gaussian,3724
IHT,1,12,linear,3543
HTP,1,12,linear,3543
HTP',1,12,linear,3543
IHT,1,15,flat,4284
HTP,1,15,flat,4284
HTP',1,15,flat,4284
IHT,1,12,flat,3357
HTP,1,12,flat,3357
HTP',1,12,flat,3357
IHT,1,2,flat,385
HTP,1,2,flat,385
HTP',1,2,flat,385
IHT,1,2,linear,571
HTP,1,2,linear,571
HTP',1,2,linear,571
IHT,1,9,linear,2612
HTP,1,9,linear,2612
HTP',1,9,linear,2612
IHT,1,8,gaussian,2239
HTP,1,8,gaussian,2239
HTP',1,8,gaussian,2239
IHT,1,1,linear,210
HTP,1,1,linear,210
HTP',1,1,linear,210
IHT,1,6,gaussian,1681
HTP,1,6,gaussian,1681
HTP',1,6,gaussian,1681
IHT,1,7,linear,2054
HTP,1,7,linear,2054
HTP',1,7,linear,2054
IHT,1,7,flat,1868
HTP,1,7,flat,1868
HTP',1,7,flat,1868
IHT,1,3,gaussian,753
HTP,1,3,gaussian,753
HTP',1,3,gaussian,753
IHT,1,5,linear,1496
HTP,1,5,linear,1496
HTP',1,5,linear,1496
IHT,1,9,flat,2428
HTP,1,9,flat,2428
HTP',1,9,flat,2428
IHT,1,2,flat,386
HTP,1,2,flat,386
HTP',1,2,flat,386
IHT,1,1,flat,22
HTP,1,1,flat,22
HTP',1,1,flat,22
IHT,1,1,linear,211
HTP,1,1,linear,211
HTP',1,1,linear,211
IHT,1,4,linear,1124
HTP,1,4,linear,1124
HTP',1,4,linear,1124
IHT,1,1,flat,23
HTP,1,1,flat,23
HTP',1,1,flat,23
IHT,1,10,flat,2797
HTP,1,10,flat,2797
HTP',1,10,flat,2797
IHT,1,1,flat,24
HTP,1,1,flat,24
HTP',1,1,flat,24
IHT,1,1,linear,212
HTP,1,1,linear,212
HTP',1,1,linear,212
IHT,1,5,gaussian,1311
HTP,1,5,gaussian,1311
HTP',1,5,gaussian,1311
IHT,0,13,gaussian,3725
HTP,1,13,gaussian,3725
HTP',1,13,gaussian,3725
IHT,1,11,gaussian,3168
HTP,1,11,gaussian,3168
HTP',1,11,gaussian,3168
IHT,1,2,flat,387
HTP,1,2,flat,387
HTP',1,2,flat,387
IHT,0,10,linear,2983
HTP,1,10,linear,2983
HTP',1,10,linear,2983
IHT,1,4,flat,938
HTP,1,4,flat,938
HTP',1,4,flat,938
IHT,0,3,gaussian,754
HTP,1,3,gaussian,754
HTP',1,3,gaussian,754
IHT,1,12,flat,3358
HTP,1,12,flat,3358
HTP',1,12,flat,3358
IHT,1,12,linear,3544
HTP,1,12,linear,3544
HTP',1,12,linear,3544
IHT,1,1,linear,213
HTP,1,1,linear,213
HTP',1,1,linear,213
IHT,1,1,flat,25
HTP,1,1,flat,25
HTP',1,1,flat,25
IHT,1,5,linear,1497
HTP,1,5,linear,1497
HTP',1,5,linear,1497
IHT,1,2,linear,572
HTP,1,2,linear,572
HTP',1,2,linear,572
IHT,1,1,flat,26
HTP,1,1,flat,26
HTP',1,1,flat,26
IHT,1,1,linear,214
HTP,1,1,linear,214
HTP',1,1,linear,214
IHT,1,1,flat,27
HTP,1,1,flat,27
HTP',1,1,flat,27
IHT,1,7,flat,1869
HTP,1,7,flat,1869
HTP',1,7,flat,1869
IHT,1,11,gaussian,3169
HTP,1,11,gaussian,3169
HTP',1,11,gaussian,3169
IHT,1,1,flat,28
HTP,1,1,flat,28
HTP',1,1,flat,28
IHT,1,1,linear,215
HTP,1,1,linear,215
HTP',1,1,linear,215
IHT,1,7,linear,2055
HTP,1,7,linear,2055
HTP',1,7,linear,2055
IHT,1,6,gaussian,1682
HTP,1,6,gaussian,1682
HTP',1,6,gaussian,1682
IHT,1,1,flat,29
HTP,1,1,flat,29
HTP',1,1,flat,29
IHT,1,4,linear,1125
HTP,1,4,linear,1125
HTP',1,4,linear,1125
IHT,1,15,flat,4285
HTP,1,15,flat,4285
HTP',1,15,flat,4285
IHT,1,12,linear,3545
HTP,1,12,linear,3545
HTP',1,12,linear,3545
IHT,0,9,linear,2613
HTP,1,9,linear,2613
HTP',1,9,linear,2613
IHT,1,1,linear,216
HTP,1,1,linear,216
HTP',1,1,linear,216
IHT,1,8,gaussian,2240
HTP,1,8,gaussian,2240
HTP',1,8,gaussian,2240
IHT,1,4,flat,939
HTP,1,4,flat,939
HTP',1,4,flat,939
IHT,1,9,flat,2429
HTP,1,9,flat,2429
HTP',1,9,flat,2429
IHT,1,1,flat,30
HTP,1,1,flat,30
HTP',1,1,flat,30
IHT,1,1,linear,217
HTP,1,1,linear,217
HTP',1,1,linear,217
IHT,1,10,flat,2798
IHT,1,2,flat,388
HTP,1,2,flat,388
HTP,1,10,flat,2798
HTP',1,10,flat,2798
HTP',1,2,flat,388
IHT,1,5,gaussian,1312
HTP,1,5,gaussian,1312
HTP',1,5,gaussian,1312
IHT,1,3,gaussian,755
HTP,1,3,gaussian,755
HTP',1,3,gaussian,755
IHT,1,1,linear,218
HTP,1,1,linear,218
HTP',1,1,linear,218
IHT,1,1,flat,31
HTP,1,1,flat,31
HTP',1,1,flat,31
IHT,1,9,linear,2614
HTP,1,9,linear,2614
HTP',1,9,linear,2614
IHT,1,10,linear,2984
HTP,1,10,linear,2984
HTP',1,10,linear,2984
IHT,1,2,linear,573
HTP,1,2,linear,573
HTP',1,2,linear,573
IHT,1,1,flat,32
HTP,1,1,flat,32
HTP',1,1,flat,32
IHT,1,5,linear,1498
HTP,1,5,linear,1498
HTP',1,5,linear,1498
IHT,1,1,linear,219
HTP,1,1,linear,219
HTP',1,1,linear,219
IHT,1,8,gaussian,2241
HTP,1,8,gaussian,2241
HTP',1,8,gaussian,2241
IHT,1,11,gaussian,3170
HTP,1,11,gaussian,3170
HTP',1,11,gaussian,3170
IHT,1,1,flat,33
HTP,1,1,flat,33
HTP',1,1,flat,33
IHT,1,15,flat,4286
HTP,1,15,flat,4286
HTP',1,15,flat,4286
IHT,1,9,linear,2615
HTP,1,9,linear,2615
HTP',1,9,linear,2615
IHT,1,12,flat,3359
HTP,1,12,flat,3359
HTP',1,12,flat,3359
IHT,1,1,linear,220
HTP,1,1,linear,220
HTP',1,1,linear,220
IHT,1,1,flat,34
HTP,1,1,flat,34
HTP',1,1,flat,34
IHT,1,7,flat,1870
HTP,1,7,flat,1870
HTP',1,7,flat,1870
IHT,1,1,linear,221
HTP,1,1,linear,221
HTP',1,1,linear,221
IHT,1,6,gaussian,1683
HTP,1,6,gaussian,1683
HTP',1,6,gaussian,1683
IHT,1,4,linear,1126
HTP,1,4,linear,1126
HTP',1,4,linear,1126
IHT,1,7,linear,2056
HTP,1,7,linear,2056
HTP',1,7,linear,2056
IHT,0,17,linear,5022
HTP,1,17,linear,5022
HTP',1,17,linear,5022
IHT,0,13,gaussian,3726
HTP,1,13,gaussian,3726
HTP',1,13,gaussian,3726
IHT,1,12,linear,3546
HTP,1,12,linear,3546
HTP',1,12,linear,3546
IHT,1,12,flat,3360
HTP,1,12,flat,3360
HTP',1,12,flat,3360
IHT,1,1,linear,222
HTP,1,1,linear,222
HTP',1,1,linear,222
IHT,1,4,flat,940
HTP,1,4,flat,940
HTP',1,4,flat,940
IHT,1,10,flat,2799
HTP,1,10,flat,2799
HTP',1,10,flat,2799
IHT,1,2,flat,389
HTP,1,2,flat,389
HTP',1,2,flat,389
IHT,1,5,gaussian,1313
HTP,1,5,gaussian,1313
HTP',1,5,gaussian,1313
IHT,1,3,gaussian,756
HTP,1,3,gaussian,756
HTP',1,3,gaussian,756
IHT,1,1,linear,223
HTP,1,1,linear,223
HTP',1,1,linear,223
IHT,1,9,flat,2430
HTP,1,9,flat,2430
HTP',1,9,flat,2430
IHT,1,1,linear,224
HTP,1,1,linear,224
HTP',1,1,linear,224
IHT,1,11,gaussian,3171
HTP,1,11,gaussian,3171
HTP',1,11,gaussian,3171
IHT,1,2,linear,574
HTP,1,2,linear,574
HTP',1,2,linear,574
IHT,1,8,gaussian,2242
HTP,1,8,gaussian,2242
HTP',1,8,gaussian,2242
IHT,1,1,linear,225
HTP,1,1,linear,225
HTP',1,1,linear,225
IHT,1,5,linear,1499
HTP,1,5,linear,1499
HTP',1,5,linear,1499
IHT,1,7,flat,1871
HTP,1,7,flat,1871
HTP',1,7,flat,1871
IHT,1,12,linear,3547
HTP,1,12,linear,3547
HTP',1,12,linear,3547
IHT,1,1,flat,35
HTP,1,1,flat,35
HTP',1,1,flat,35
IHT,1,1,linear,226
HTP,1,1,linear,226
HTP',1,1,linear,226
IHT,1,13,gaussian,3727
