method,success,s,type,seed
HTP,1,13,flat,3614
HTP',1,13,flat,3614
HTP,1,25,linear,7493
HTP',1,25,linear,7493
HTP,1,17,gaussian,4999
HTP',1,17,gaussian,4999
HTP,1,8,flat,2128
HTP',1,8,flat,2128
HTP,1,9,flat,2486
HTP',1,9,flat,2486
HTP,1,20,flat,5749
HTP',1,20,flat,5749
HTP,1,13,flat,3615
HTP',1,13,flat,3615
HTP,1,3,flat,698
HTP',1,3,flat,698
HTP,1,8,flat,2129
HTP',1,8,flat,2129
HTP,1,4,gaussian,1053
HTP',1,4,gaussian,1053
HTP,1,14,flat,3945
HTP',1,14,flat,3945
HTP,1,10,gaussian,2867
HTP',1,10,gaussian,2867
HTP,1,9,flat,2487
HTP',1,9,flat,2487
HTP,1,5,gaussian,1393
HTP',1,5,gaussian,1393
HTP,1,6,linear,1769
HTP',1,6,linear,1769
HTP,1,4,gaussian,1054
HTP',1,4,gaussian,1054
HTP,1,9,flat,2488
HTP',1,9,flat,2488
HTP,1,3,flat,699
HTP',1,3,flat,699
HTP,1,23,linear,6872
HTP',1,23,linear,6872
HTP,1,16,gaussian,4652
HTP',1,16,gaussian,4652
HTP,1,15,gaussian,4313
HTP',1,15,gaussian,4313
HTP,1,21,gaussian,6143
HTP',1,21,gaussian,6143
HTP,1,19,flat,5420
HTP',1,19,flat,5420
HTP,1,22,linear,6505
HTP',1,22,linear,6505
HTP,1,25,flat,7229
HTP',1,25,flat,7229
HTP,1,11,linear,3232
HTP',1,11,linear,3232
HTP,1,8,flat,2130
HTP',1,8,flat,2130
HTP,1,25,linear,7494
HTP',1,25,linear,7494
HTP,1,13,flat,3616
HTP',1,13,flat,3616
HTP,1,14,flat,3946
HTP',1,14,flat,3946
HTP,1,9,flat,2489
HTP',1,9,flat,2489
HTP,1,10,gaussian,2868
HTP',1,10,gaussian,2868
HTP,1,5,gaussian,1394
HTP',1,5,gaussian,1394
HTP,1,6,linear,1770
HTP',1,6,linear,1770
HTP,1,4,gaussian,1055
HTP',1,4,gaussian,1055
HTP,1,3,gaussian,700
HTP',1,3,gaussian,700
HTP,1,13,flat,3617
HTP',1,13,flat,3617
HTP,1,17,linear,5000
HTP',1,17,linear,5000
HTP,1,9,flat,2490
HTP',1,9,flat,2490
HTP,1,10,gaussian,2869
HTP',1,10,gaussian,2869
HTP,1,23,linear,6873
HTP',1,23,linear,6873
HTP,1,8,flat,2131
HTP',1,8,flat,2131
HTP,1,16,gaussian,4653
HTP',1,16,gaussian,4653
HTP,1,5,gaussian,1395
HTP',1,5,gaussian,1395
HTP,1,11,linear,3233
HTP',1,11,linear,3233
HTP,1,21,gaussian,6144
HTP',1,21,gaussian,6144
HTP,1,20,flat,5750
HTP',1,20,flat,5750
HTP,1,3,gaussian,701
HTP',1,3,gaussian,701
HTP,1,19,flat,5421
HTP',1,19,flat,5421
HTP,1,9,flat,2491
HTP',1,9,flat,2491
HTP,1,14,flat,3947
HTP',1,14,flat,3947
HTP,1,6,linear,1771
HTP',1,6,linear,1771
HTP,1,22,linear,6506
HTP',1,22,linear,6506
HTP,1,4,gaussian,1056
HTP',1,4,gaussian,1056
HTP,1,17,linear,5001
HTP',1,17,linear,5001
HTP,1,25,flat,7230
HTP',1,25,flat,7230
HTP,1,15,gaussian,4314
HTP',1,15,gaussian,4314
HTP,1,13,flat,3618
HTP',1,13,flat,3618
HTP,1,10,gaussian,2870
HTP',1,10,gaussian,2870
HTP,1,8,flat,2132
HTP',1,8,flat,2132
HTP,1,5,gaussian,1396
HTP',1,5,gaussian,1396
HTP,1,14,flat,3948
HTP',1,14,flat,3948
HTP,1,22,linear,6507
HTP',1,22,linear,6507
HTP,1,9,flat,2492
HTP',1,9,flat,2492
HTP,1,6,linear,1772
HTP',1,6,linear,1772
HTP,1,11,linear,3234
HTP',1,11,linear,3234
HTP,1,3,gaussian,702
HTP',1,3,gaussian,702
HTP,1,17,linear,5002
HTP',1,17,linear,5002
HTP,1,25,linear,7495
HTP',1,25,linear,7495
HTP,1,19,flat,5422
HTP',1,19,flat,5422
HTP,1,8,flat,2133
HTP',1,8,flat,2133
HTP,1,4,gaussian,1057
HTP',1,4,gaussian,1057
HTP,1,23,linear,6874
HTP',1,23,linear,6874
HTP,1,5,gaussian,1397
HTP',1,5,gaussian,1397
HTP,1,10,gaussian,2871
HTP',1,10,gaussian,2871
HTP,1,21,gaussian,6145
HTP',1,21,gaussian,6145
HTP,1,11,linear,3235
HTP',1,11,linear,3235
HTP,1,15,gaussian,4315
HTP',1,15,gaussian,4315
HTP,1,5,gaussian,1398
HTP',1,5,gaussian,1398
HTP,1,25,flat,7231
HTP',1,25,flat,7231
HTP,1,16,gaussian,4654
HTP',1,16,gaussian,4654
HTP,1,20,flat,5751
HTP',1,20,flat,5751
HTP,1,13,flat,3619
HTP',1,13,flat,3619
HTP,1,22,linear,6508
HTP',1,22,linear,6508
HTP,1,9,flat,2493
HTP',1,9,flat,2493
HTP,1,14,flat,3949
HTP',1,14,flat,3949
HTP,1,6,linear,1773
HTP',1,6,linear,1773
HTP,1,17,linear,5003
HTP',1,17,linear,5003
HTP,1,23,linear,6875
HTP',1,23,linear,6875
HTP,1,4,gaussian,1058
HTP',1,4,gaussian,1058
HTP,1,3,gaussian,703
HTP',1,3,gaussian,703
HTP,1,10,gaussian,2872
HTP',1,10,gaussian,2872
HTP,1,8,flat,2134
HTP',1,8,flat,2134
HTP,1,25,linear,7496
HTP',1,25,linear,7496
HTP,1,5,gaussian,1399
HTP',1,5,gaussian,1399
HTP,1,14,flat,3950
HTP',1,14,flat,3950
HTP,1,8,flat,2135
HTP',1,8,flat,2135
HTP,1,4,gaussian,1059
HTP',1,4,gaussian,1059
HTP,1,19,flat,5423
HTP',1,19,flat,5423
HTP,1,13,flat,3620
HTP',1,13,flat,3620
HTP,1,21,gaussian,6146
HTP',1,21,gaussian,6146
HTP,1,22,linear,6509
HTP',1,22,linear,6509
HTP,1,9,flat,2494
HTP',1,9,flat,2494
HTP,1,15,gaussian,4316
HTP',1,15,gaussian,4316
HTP,1,5,linear,1400
HTP',1,5,linear,1400
HTP,1,11,linear,3236
HTP',1,11,linear,3236
HTP,1,3,gaussian,704
HTP',1,3,gaussian,704
HTP,1,25,flat,7232
HTP',1,25,flat,7232
HTP,1,6,linear,1774
HTP',1,6,linear,1774
HTP,1,13,flat,3621
HTP',1,13,flat,3621
HTP,1,16,gaussian,4655
HTP',1,16,gaussian,4655
HTP,1,20,flat,5752
HTP',1,20,flat,5752
HTP,1,10,gaussian,2873
HTP',1,10,gaussian,2873
HTP,1,4,gaussian,1060
HTP',1,4,gaussian,1060
HTP,1,17,linear,5004
HTP',1,17,linear,5004
HTP,1,11,linear,3237
HTP',1,11,linear,3237
HTP,1,8,flat,2136
HTP',1,8,flat,2136
HTP,1,9,flat,2495
HTP',1,9,flat,2495
HTP,1,5,linear,1401
HTP',1,5,linear,1401
HTP,1,23,linear,6876
HTP',1,23,linear,6876
HTP,1,22,linear,6510
HTP',1,22,linear,6510
HTP,1,3,gaussian,705
HTP',1,3,gaussian,705
HTP,1,25,linear,7497
HTP',1,25,linear,7497
HTP,1,6,linear,1775
HTP',1,6,linear,1775
HTP,1,19,flat,5424
HTP',1,19,flat,5424
HTP,1,4,gaussian,1061
HTP',1,4,gaussian,1061
HTP,1,13,flat,3622
HTP',1,13,flat,3622
HTP,1,9,flat,2496
HTP',1,9,flat,2496
HTP,1,20,flat,5753
HTP',1,20,flat,5753
HTP,1,21,gaussian,6147
HTP',1,21,gaussian,6147
HTP,1,14,flat,3951
HTP',1,14,flat,3951
HTP,1,15,gaussian,4317
HTP',1,15,gaussian,4317
HTP,1,5,linear,1402
HTP',1,5,linear,1402
HTP,1,25,flat,7233
HTP',1,25,flat,7233
HTP,1,11,linear,3238
HTP',1,11,linear,3238
HTP,1,10,gaussian,2874
HTP',1,10,gaussian,2874
HTP,1,6,linear,1776
HTP',1,6,linear,1776
HTP,1,8,flat,2137
HTP',1,8,flat,2137
HTP,1,23,linear,6877
HTP',1,23,linear,6877
HTP,1,3,gaussian,706
HTP',1,3,gaussian,706
HTP,1,17,linear,5005
HTP',1,17,linear,5005
HTP,1,14,flat,3952
HTP',1,14,flat,3952
HTP,1,4,gaussian,1062
HTP',1,4,gaussian,1062
HTP,1,16,gaussian,4656
HTP',1,16,gaussian,4656
HTP,1,5,linear,1403
HTP',1,5,linear,1403
HTP,1,13,flat,3623
HTP',1,13,flat,3623
HTP,1,22,linear,6511
HTP',1,22,linear,6511
HTP,1,8,flat,2138
HTP',1,8,flat,2138
HTP,1,9,flat,2497
HTP',1,9,flat,2497
HTP,1,10,gaussian,2875
HTP',1,10,gaussian,2875
HTP,1,17,linear,5006
HTP',1,17,linear,5006
HTP,1,6,linear,1777
HTP',1,6,linear,1777
HTP,1,21,gaussian,6148
HTP',1,21,gaussian,6148
HTP,1,19,flat,5425
HTP',1,19,flat,5425
HTP,1,20,flat,5754
HTP',1,20,flat,5754
HTP,1,4,gaussian,1063
HTP',1,4,gaussian,1063
HTP,1,3,gaussian,707
HTP',1,3,gaussian,707
HTP,1,25,flat,7234
HTP',1,25,flat,7234
HTP,1,25,linear,7498
HTP',1,25,linear,7498
HTP,1,9,flat,2498
HTP',1,9,flat,2498
HTP,1,13,flat,3624
HTP',1,13,flat,3624
HTP,1,5,linear,1404
HTP',1,5,linear,1404
HTP,1,11,linear,3239
HTP',1,11,linear,3239
HTP,1,15,gaussian,4318
HTP',1,15,gaussian,4318
HTP,1,17,linear,5007
HTP',1,17,linear,5007
HTP,1,6,linear,1778
HTP',1,6,linear,1778
HTP,1,8,flat,2139
HTP',1,8,flat,2139
HTP,1,23,linear,6878
HTP',1,23,linear,6878
HTP,1,4,gaussian,1064
HTP',1,4,gaussian,1064
HTP,1,10,gaussian,2876
HTP',1,10,gaussian,2876
HTP,1,14,flat,3953
HTP',1,14,flat,3953
HTP,1,22,linear,6512
HTP',1,22,linear,6512
HTP,1,21,gaussian,6149
HTP',1,21,gaussian,6149
HTP,1,16,gaussian,4657
HTP',1,16,gaussian,4657
HTP,1,8,flat,2140
HTP',1,8,flat,2140
HTP,1,3,gaussian,708
HTP',1,3,gaussian,708
HTP,1,9,flat,2499
HTP',1,9,flat,2499
HTP,1,5,linear,1405
HTP',1,5,linear,1405
HTP,1,19,flat,5426
HTP',1,19,flat,5426
HTP,1,14,flat,3954
HTP',1,14,flat,3954
HTP,1,13,flat,3625
HTP',1,13,flat,3625
HTP,1,20,flat,5755
HTP',1,20,flat,5755
HTP,1,6,linear,1779
HTP',1,6,linear,1779
HTP,1,25,flat,7235
HTP',1,25,flat,7235
HTP,1,8,flat,2141
HTP',1,8,flat,2141
HTP,1,25,linear,7499
HTP',1,25,linear,7499
HTP,1,3,gaussian,709
HTP',1,3,gaussian,709
HTP,1,4,gaussian,1065
HTP',1,4,gaussian,1065
HTP,1,16,gaussian,4658
HTP',1,16,gaussian,4658
HTP,1,15,gaussian,4319
HTP',1,15,gaussian,4319
HTP,1,11,linear,3240
HTP',1,11,linear,3240
HTP,1,23,linear,6879
HTP',1,23,linear,6879
HTP,1,22,linear,6513
HTP',1,22,linear,6513
HTP,1,13,flat,3626
HTP',1,13,flat,3626
HTP,1,5,linear,1406
HTP',1,5,linear,1406
HTP,1,17,linear,5008
HTP',1,17,linear,5008
HTP,1,10,gaussian,2877
HTP',1,10,gaussian,2877
HTP,1,21,gaussian,6150
HTP',1,21,gaussian,6150
HTP,1,6,linear,1780
HTP',1,6,linear,1780
HTP,1,9,gaussian,2500
HTP',1,9,gaussian,2500
HTP,1,8,flat,2142
HTP',1,8,flat,2142
HTP,1,19,flat,5427
HTP',1,19,flat,5427
HTP,1,14,flat,3955
HTP',1,14,flat,3955
HTP,1,4,gaussian,1066
HTP',1,4,gaussian,1066
HTP,1,11,linear,3241
HTP',1,11,linear,3241
HTP,1,3,gaussian,710
HTP',1,3,gaussian,710
HTP,1,15,gaussian,4320
HTP',1,15,gaussian,4320
HTP,1,25,flat,7236
HTP',1,25,flat,7236
HTP,1,5,linear,1407
HTP',1,5,linear,1407
HTP,1,20,flat,5756
HTP',1,20,flat,5756
HTP,1,26,flat,7500
HTP',1,26,flat,7500
HTP,1,23,linear,6880
HTP',1,23,linear,6880
HTP,1,22,linear,6514
HTP',1,22,linear,6514
HTP,1,9,gaussian,2501
HTP',1,9,gaussian,2501
HTP,1,4,gaussian,1067
HTP',1,4,gaussian,1067
HTP,1,13,flat,3627
HTP',1,13,flat,3627
HTP,1,6,linear,1781
HTP',1,6,linear,1781
HTP,1,10,gaussian,2878
HTP',1,10,gaussian,2878
HTP,1,21,gaussian,6151
HTP',1,21,gaussian,6151
HTP,1,8,flat,2143
HTP',1,8,flat,2143
HTP,1,19,flat,5428
HTP',1,19,flat,5428
HTP,1,16,gaussian,4659
HTP',1,16,gaussian,4659
HTP,1,11,linear,3242
HTP',1,11,linear,3242
HTP,1,17,linear,5009
HTP',1,17,linear,5009
HTP,1,14,flat,3956
HTP',1,14,flat,3956
HTP,1,3,gaussian,711
HTP',1,3,gaussian,711
HTP,1,6,linear,1782
HTP',1,6,linear,1782
HTP,1,20,flat,5757
HTP',1,20,flat,5757
HTP,1,5,linear,1408
HTP',1,5,linear,1408
HTP,1,13,flat,3628
HTP',1,13,flat,3628
HTP,1,15,gaussian,4321
HTP',1,15,gaussian,4321
HTP,1,22,linear,6515
HTP',1,22,linear,6515
HTP,1,9,gaussian,2502
HTP',1,9,gaussian,2502
HTP,1,4,gaussian,1068
HTP',1,4,gaussian,1068
HTP,1,16,gaussian,4660
HTP',1,16,gaussian,4660
HTP,1,6,linear,1783
HTP',1,6,linear,1783
HTP,1,25,flat,7237
HTP',1,25,flat,7237
HTP,1,5,linear,1409
HTP',1,5,linear,1409
HTP,1,23,linear,6881
HTP',1,23,linear,6881
HTP,1,10,gaussian,2879
HTP',1,10,gaussian,2879
HTP,1,19,flat,5429
HTP',1,19,flat,5429
HTP,1,3,gaussian,712
HTP',1,3,gaussian,712
HTP,1,26,flat,7501
HTP',1,26,flat,7501
HTP,1,11,linear,3243
HTP',1,11,linear,3243
HTP,1,8,flat,2144
HTP',1,8,flat,2144
HTP,1,17,linear,5010
HTP',1,17,linear,5010
HTP,1,13,flat,3629
HTP',1,13,flat,3629
HTP,1,6,linear,1784
HTP',1,6,linear,1784
HTP,1,9,gaussian,2503
HTP',1,9,gaussian,2503
HTP,1,14,flat,3957
HTP',1,14,flat,3957
HTP,1,21,gaussian,6152
HTP',1,21,gaussian,6152
HTP,1,5,linear,1410
HTP',1,5,linear,1410
HTP,1,11,linear,3244
HTP',1,11,linear,3244
HTP,1,13,flat,3630
HTP',1,13,flat,3630
HTP,1,4,gaussian,1069
HTP',1,4,gaussian,1069
HTP,1,9,gaussian,2504
HTP',1,9,gaussian,2504
HTP,1,16,gaussian,4661
HTP',1,16,gaussian,4661
HTP,1,3,gaussian,713
HTP',1,3,gaussian,713
HTP,1,6,linear,1785
HTP',1,6,linear,1785
HTP,1,15,gaussian,4322
HTP',1,15,gaussian,4322
HTP,1,20,flat,5758
HTP',1,20,flat,5758
HTP,1,25,flat,7238
HTP',1,25,flat,7238
HTP,1,17,linear,5011
HTP',1,17,linear,5011
HTP,1,22,linear,6516
HTP',1,22,linear,6516
HTP,1,5,linear,1411
HTP',1,5,linear,1411
HTP,1,23,linear,6882
HTP',1,23,linear,6882
HTP,1,26,flat,7502
HTP',1,26,flat,7502
HTP,1,8,flat,2145
HTP',1,8,flat,2145
HTP,1,4,gaussian,1070
HTP',1,4,gaussian,1070
HTP,1,10,gaussian,2880
HTP',1,10,gaussian,2880
HTP,1,19,flat,5430
HTP',1,19,flat,5430
HTP,1,11,linear,3245
HTP',1,11,linear,3245
HTP,1,13,flat,3631
HTP',1,13,flat,3631
HTP,1,9,gaussian,2505
HTP',1,9,gaussian,2505
HTP,1,3,gaussian,714
HTP',1,3,gaussian,714
HTP,1,6,linear,1786
HTP',1,6,linear,1786
HTP,1,4,gaussian,1071
HTP',1,4,gaussian,1071
HTP,1,13,flat,3632
HTP',1,13,flat,3632
HTP,1,16,gaussian,4662
HTP',1,16,gaussian,4662
HTP,1,21,gaussian,6153
HTP',1,21,gaussian,6153
HTP,1,14,flat,3958
HTP',1,14,flat,3958
HTP,1,20,flat,5759
HTP',1,20,flat,5759
HTP,1,5,linear,1412
HTP',1,5,linear,1412
HTP,1,11,linear,3246
HTP',1,11,linear,3246
HTP,1,10,gaussian,2881
HTP',1,10,gaussian,2881
HTP,1,13,flat,3633
HTP',1,13,flat,3633
HTP,1,8,flat,2146
HTP',1,8,flat,2146
HTP,1,4,gaussian,1072
HTP',1,4,gaussian,1072
HTP,1,5,linear,1413
HTP',1,5,linear,1413
HTP,1,9,gaussian,2506
HTP',1,9,gaussian,2506
HTP,1,3,gaussian,715
HTP',1,3,gaussian,715
HTP,1,17,linear,5012
HTP',1,17,linear,5012
HTP,1,23,linear,6883
HTP',1,23,linear,6883
HTP,1,25,flat,7239
HTP',1,25,flat,7239
HTP,1,15,gaussian,4323
HTP',1,15,gaussian,4323
HTP,1,14,flat,3959
HTP',1,14,flat,3959
HTP,1,6,linear,1787
HTP',1,6,linear,1787
HTP,1,19,flat,5431
HTP',1,19,flat,5431
HTP,1,13,flat,3634
HTP',1,13,flat,3634
HTP,1,26,flat,7503
HTP',1,26,flat,7503
HTP,1,11,linear,3247
HTP',1,11,linear,3247
HTP,1,16,gaussian,4663
HTP',1,16,gaussian,4663
HTP,1,22,linear,6517
HTP',1,22,linear,6517
HTP,1,4,gaussian,1073
HTP',1,4,gaussian,1073
HTP,1,11,linear,3248
HTP',1,11,linear,3248
HTP,1,10,gaussian,2882
HTP',1,10,gaussian,2882
HTP,1,8,flat,2147
HTP',1,8,flat,2147
HTP,1,20,flat,5760
HTP',1,20,flat,5760
HTP,1,6,linear,1788
HTP',1,6,linear,1788
HTP,1,9,gaussian,2507
HTP',1,9,gaussian,2507
HTP,1,5,linear,1414
HTP',1,5,linear,1414
HTP,1,3,gaussian,716
HTP',1,3,gaussian,716
HTP,1,13,flat,3635
HTP',1,13,flat,3635
HTP,1,15,gaussian,4324
HTP',1,15,gaussian,4324
HTP,1,21,gaussian,6154
HTP',1,21,gaussian,6154
HTP,1,23,linear,6884
HTP',1,23,linear,6884
HTP,1,17,linear,5013
HTP',1,17,linear,5013
HTP,1,14,flat,3960
HTP',1,14,flat,3960
HTP,1,3,gaussian,717
HTP',1,3,gaussian,717
HTP,1,25,flat,7240
HTP',1,25,flat,7240
HTP,1,8,flat,2148
HTP',1,8,flat,2148
HTP,1,11,linear,3249
HTP',1,11,linear,3249
HTP,1,19,flat,5432
HTP',1,19,flat,5432
HTP,1,6,linear,1789
HTP',1,6,linear,1789
HTP,1,4,gaussian,1074
HTP',1,4,gaussian,1074
HTP,1,10,gaussian,2883
HTP',1,10,gaussian,2883
HTP,1,5,linear,1415
HTP',1,5,linear,1415
HTP,1,17,linear,5014
HTP',1,17,linear,5014
HTP,1,22,linear,6518
HTP',1,22,linear,6518
HTP,1,26,flat,7504
HTP',1,26,flat,7504
HTP,1,13,flat,3636
HTP',1,13,flat,3636
HTP,1,14,flat,3961
HTP',1,14,flat,3961
HTP,1,11,linear,3250
HTP',1,11,linear,3250
HTP,1,9,gaussian,2508
HTP',1,9,gaussian,2508
HTP,1,16,gaussian,4664
HTP',1,16,gaussian,4664
HTP,1,20,flat,5761
HTP',1,20,flat,5761
HTP,1,3,gaussian,718
HTP',1,3,gaussian,718
HTP,1,15,gaussian,4325
HTP',1,15,gaussian,4325
HTP,1,8,flat,2149
HTP',1,8,flat,2149
HTP,1,23,linear,6885
HTP',1,23,linear,6885
HTP,1,5,linear,1416
HTP',1,5,linear,1416
HTP,1,3,gaussian,719
HTP',1,3,gaussian,719
HTP,1,22,linear,6519
HTP',1,22,linear,6519
HTP,1,17,linear,5015
HTP',1,17,linear,5015
HTP,1,4,gaussian,1075
HTP',1,4,gaussian,1075
HTP,1,6,linear,1790
HTP',1,6,linear,1790
HTP,1,25,flat,7241
HTP',1,25,flat,7241
HTP,1,11,linear,3251
HTP',1,11,linear,3251
HTP,1,21,gaussian,6155
HTP',1,21,gaussian,6155
HTP,1,6,linear,1791
HTP',1,6,linear,1791
HTP,1,8,flat,2150
HTP',1,8,flat,2150
HTP,1,19,flat,5433
HTP',1,19,flat,5433
HTP,1,10,gaussian,2884
HTP',1,10,gaussian,2884
HTP,1,9,gaussian,2509
HTP',1,9,gaussian,2509
HTP,1,15,gaussian,4326
HTP',1,15,gaussian,4326
HTP,1,14,flat,3962
HTP',1,14,flat,3962
HTP,1,17,linear,5016
HTP',1,17,linear,5016
HTP,1,13,flat,3637
HTP',1,13,flat,3637
HTP,1,16,gaussian,4665
HTP',1,16,gaussian,4665
HTP,1,8,flat,2151
HTP',1,8,flat,2151
HTP,1,5,linear,1417
HTP',1,5,linear,1417
HTP,1,11,linear,3252
HTP',1,11,linear,3252
HTP,1,3,gaussian,720
HTP',1,3,gaussian,720
HTP,1,4,gaussian,1076
HTP',1,4,gaussian,1076
HTP,1,20,flat,5762
HTP',1,20,flat,5762
HTP,1,26,flat,7505
HTP',1,26,flat,7505
HTP,1,10,gaussian,2885
HTP',1,10,gaussian,2885
HTP,1,21,gaussian,6156
HTP',1,21,gaussian,6156
HTP,1,23,linear,6886
HTP',1,23,linear,6886
HTP,1,9,gaussian,2510
HTP',1,9,gaussian,2510
HTP,1,22,linear,6520
HTP',1,22,linear,6520
HTP,1,8,flat,2152
HTP',1,8,flat,2152
HTP,1,3,gaussian,721
HTP',1,3,gaussian,721
HTP,1,6,linear,1792
HTP',1,6,linear,1792
HTP,1,19,flat,5434
HTP',1,19,flat,5434
HTP,1,15,gaussian,4327
HTP',1,15,gaussian,4327
HTP,1,14,flat,3963
HTP',1,14,flat,3963
HTP,1,11,linear,3253
HTP',1,11,linear,3253
HTP,1,5,linear,1418
HTP',1,5,linear,1418
HTP,1,13,flat,3638
HTP',1,13,flat,3638
HTP,1,9,gaussian,2511
HTP',1,9,gaussian,2511
HTP,1,10,gaussian,2886
HTP',1,10,gaussian,2886
HTP,1,21,gaussian,6157
HTP',1,21,gaussian,6157
HTP,1,20,flat,5763
HTP',1,20,flat,5763
HTP,1,23,linear,6887
HTP',1,23,linear,6887
HTP,1,16,gaussian,4666
HTP',1,16,gaussian,4666
HTP,1,8,flat,2153
HTP',1,8,flat,2153
HTP,1,4,gaussian,1077
HTP',1,4,gaussian,1077
HTP,1,14,flat,3964
HTP',1,14,flat,3964
HTP,1,25,flat,7242
HTP',1,25,flat,7242
HTP,1,17,linear,5017
HTP',1,17,linear,5017
HTP,1,3,gaussian,722
HTP',1,3,gaussian,722
HTP,1,11,linear,3254
HTP',1,11,linear,3254
HTP,1,26,flat,7506
HTP',1,26,flat,7506
HTP,1,15,gaussian,4328
HTP',1,15,gaussian,4328
HTP,1,6,linear,1793
HTP',1,6,linear,1793
HTP,1,8,flat,2154
HTP',1,8,flat,2154
HTP,1,5,linear,1419
HTP',1,5,linear,1419
HTP,1,19,flat,5435
HTP',1,19,flat,5435
HTP,1,3,gaussian,723
HTP',1,3,gaussian,723
HTP,1,9,gaussian,2512
HTP',1,9,gaussian,2512
HTP,1,17,linear,5018
HTP',1,17,linear,5018
HTP,1,13,flat,3639
HTP',1,13,flat,3639
HTP,1,21,gaussian,6158
HTP',1,21,gaussian,6158
HTP,1,22,linear,6521
HTP',1,22,linear,6521
HTP,1,4,gaussian,1078
HTP',1,4,gaussian,1078
HTP,1,10,gaussian,2887
HTP',1,10,gaussian,2887
HTP,1,14,flat,3965
HTP',1,14,flat,3965
HTP,1,23,linear,6888
HTP',1,23,linear,6888
HTP,1,11,linear,3255
HTP',1,11,linear,3255
HTP,1,9,gaussian,2513
HTP',1,9,gaussian,2513
HTP,1,16,gaussian,4667
HTP',1,16,gaussian,4667
HTP,1,6,linear,1794
HTP',1,6,linear,1794
HTP,1,25,flat,7243
HTP',1,25,flat,7243
HTP,1,5,linear,1420
HTP',1,5,linear,1420
HTP,1,15,gaussian,4329
HTP',1,15,gaussian,4329
HTP,1,8,flat,2155
HTP',1,8,flat,2155
HTP,1,3,gaussian,724
HTP',1,3,gaussian,724
HTP,1,5,linear,1421
HTP',1,5,linear,1421
HTP,1,20,flat,5764
HTP',1,20,flat,5764
HTP,1,6,linear,1795
HTP',1,6,linear,1795
HTP,1,13,flat,3640
HTP',1,13,flat,3640
HTP,1,17,linear,5019
HTP',1,17,linear,5019
HTP,1,9,gaussian,2514
HTP',1,9,gaussian,2514
HTP,1,8,flat,2156
HTP',1,8,flat,2156
HTP,1,10,gaussian,2888
HTP',1,10,gaussian,2888
HTP,1,11,linear,3256
HTP',1,11,linear,3256
HTP,1,22,linear,6522
HTP',1,22,linear,6522
HTP,1,19,flat,5436
HTP',1,19,flat,5436
HTP,1,9,gaussian,2515
HTP',1,9,gaussian,2515
HTP,1,13,flat,3641
HTP',1,13,flat,3641
HTP,1,4,gaussian,1079
HTP',1,4,gaussian,1079
HTP,1,3,gaussian,725
HTP',1,3,gaussian,725
HTP,1,21,gaussian,6159
HTP',1,21,gaussian,6159
HTP,1,26,flat,7507
HTP',1,26,flat,7507
HTP,1,23,linear,6889
HTP',1,23,linear,6889
HTP,1,10,gaussian,2889
HTP',1,10,gaussian,2889
HTP,1,14,flat,3966
HTP',1,14,flat,3966
HTP,1,6,linear,1796
HTP',1,6,linear,1796
HTP,1,13,flat,3642
HTP',1,13,flat,3642
HTP,1,5,linear,1422
HTP',1,5,linear,1422
HTP,1,16,gaussian,4668
HTP',1,16,gaussian,4668
HTP,1,11,linear,3257
HTP',1,11,linear,3257
HTP,1,22,linear,6523
HTP',1,22,linear,6523
HTP,1,3,gaussian,726
HTP',1,3,gaussian,726
HTP,1,25,flat,7244
HTP',1,25,flat,7244
HTP,1,17,linear,5020
HTP',1,17,linear,5020
HTP,1,10,gaussian,2890
HTP',1,10,gaussian,2890
HTP,1,15,gaussian,4330
HTP',1,15,gaussian,4330
HTP,1,8,flat,2157
HTP',1,8,flat,2157
HTP,1,23,linear,6890
HTP',1,23,linear,6890
HTP,1,9,gaussian,2516
HTP',1,9,gaussian,2516
HTP,1,13,flat,3643
HTP',1,13,flat,3643
HTP,1,4,gaussian,1080
HTP',1,4,gaussian,1080
HTP,1,20,flat,5765
HTP',1,20,flat,5765
HTP,1,21,gaussian,6160
HTP',1,21,gaussian,6160
HTP,1,3,gaussian,727
HTP',1,3,gaussian,727
HTP,1,9,gaussian,2517
HTP',1,9,gaussian,2517
HTP,1,6,linear,1797
HTP',1,6,linear,1797
HTP,1,14,flat,3967
HTP',1,14,flat,3967
HTP,1,10,gaussian,2891
HTP',1,10,gaussian,2891
HTP,1,5,linear,1423
HTP',1,5,linear,1423
HTP,1,19,flat,5437
HTP',1,19,flat,5437
HTP,1,16,gaussian,4669
HTP',1,16,gaussian,4669
HTP,1,26,flat,7508
HTP',1,26,flat,7508
HTP,1,8,flat,2158
HTP',1,8,flat,2158
HTP,1,22,linear,6524
HTP',1,22,linear,6524
HTP,1,3,gaussian,728
HTP',1,3,gaussian,728
HTP,1,11,linear,3258
HTP',1,11,linear,3258
HTP,1,23,linear,6891
HTP',1,23,linear,6891
HTP,1,21,gaussian,6161
HTP',1,21,gaussian,6161
HTP,1,4,gaussian,1081
HTP',1,4,gaussian,1081
HTP,1,25,flat,7245
HTP',1,25,flat,7245
HTP,1,13,flat,3644
HTP',1,13,flat,3644
HTP,1,10,gaussian,2892
HTP',1,10,gaussian,2892
HTP,1,17,linear,5021
HTP',1,17,linear,5021
HTP,1,6,linear,1798
HTP',1,6,linear,1798
HTP,1,8,flat,2159
HTP',1,8,flat,2159
